fixed acidity,volatile acidity,quality,residual sugar,total sulfur dioxide,density,pH,sulphates,alcohol
7.4,0.7,5,1.9,34,0.9978,3.51,0.56,9.4
7.8,0.88,5,2.6,67,0.9968,3.2,0.68,9.8
7.8,0.76,5,2.3,54,0.997,3.26,0.65,9.8
11.2,0.28,6,1.9,60,0.998,3.16,0.58,9.8
7.4,0.66,5,1.8,40,0.9978,3.51,0.56,9.4
7.9,0.6,5,1.6,59,0.9964,3.3,0.46,9.4
7.3,0.65,7,1.2,21,0.9946,3.39,0.47,10
7.8,0.58,7,2,18,0.9968,3.36,0.57,9.5
7.5,0.5,5,6.1,102,0.9978,3.35,0.8,10.5
6.7,0.58,5,1.8,65,0.9959,3.28,0.54,9.2
5.6,0.615,5,1.6,59,0.9943,3.58,0.52,9.9
7.8,0.61,5,1.6,29,0.9974,3.26,1.56,9.1
8.9,0.62,5,3.8,145,0.9986,3.16,0.88,9.2
8.9,0.62,5,3.9,148,0.9986,3.17,0.93,9.2
8.5,0.28,7,1.8,103,0.9969,3.3,0.75,10.5
8.1,0.56,5,1.7,56,0.9968,3.11,1.28,9.3
7.4,0.59,4,4.4,29,0.9974,3.38,0.5,9
7.9,0.32,6,1.8,56,0.9969,3.04,1.08,9.2
8.9,0.22,6,1.8,60,0.9968,3.39,0.53,9.4
7.6,0.39,5,2.3,71,0.9982,3.52,0.65,9.7
7.9,0.43,5,1.6,37,0.9966,3.17,0.91,9.5
8.5,0.49,5,2.3,67,0.9968,3.17,0.53,9.4
6.9,0.4,6,2.4,40,0.9968,3.43,0.63,9.7
6.3,0.39,5,1.4,23,0.9955,3.34,0.56,9.3
7.6,0.41,5,1.8,11,0.9962,3.28,0.59,9.5
7.1,0.71,5,1.9,35,0.9972,3.47,0.55,9.4
7.8,0.645,6,2,16,0.9964,3.38,0.59,9.8
6.7,0.675,5,2.4,82,0.9958,3.35,0.54,10.1
6.9,0.685,6,2.5,37,0.9966,3.46,0.57,10.6
8.3,0.655,5,2.3,113,0.9966,3.17,0.66,9.8
6.9,0.605,6,10.7,83,0.9993,3.45,0.52,9.4
5.2,0.32,5,1.8,50,0.9957,3.38,0.55,9.2
7.8,0.645,6,5.5,18,0.9986,3.4,0.55,9.6
7.8,0.6,6,2.4,15,0.9975,3.42,0.6,10.8
8.1,0.38,7,2.1,30,0.9968,3.23,0.73,9.7
5.7,1.13,4,1.5,19,0.994,3.5,0.48,9.8
7.3,0.45,5,5.9,87,0.9978,3.33,0.83,10.5
8.8,0.61,4,2.8,46,0.9976,3.26,0.51,9.3
7.5,0.49,6,2.6,14,0.9968,3.21,0.9,10.5
8.1,0.66,5,2.2,23,0.9968,3.3,1.2,10.3
6.8,0.67,5,1.8,11,0.9962,3.48,0.52,9.5
4.6,0.52,4,2.1,65,0.9934,3.9,0.56,13.1
7.7,0.935,5,2.2,114,0.997,3.25,0.73,9.2
8.7,0.29,5,1.6,37,0.9969,3.25,0.58,9.5
6.4,0.4,5,1.6,12,0.9958,3.34,0.56,9.2
5.6,0.31,5,1.4,96,0.9954,3.32,0.58,9.2
8.8,0.66,5,1.7,23,0.9971,3.15,0.74,9.2
6.6,0.52,6,2.2,15,0.9956,3.4,0.63,9.4
6.6,0.5,6,2.1,14,0.9955,3.39,0.64,9.4
8.6,0.38,5,3,119,0.997,3.2,0.56,9.4
7.6,0.51,6,2.8,73,0.9955,3.17,0.63,10.2
7.7,0.62,5,3.8,45,0.9978,3.34,0.53,9.5
10.2,0.42,5,3.4,10,0.9971,3.04,0.63,9.6
7.5,0.63,5,5.1,110,0.9983,3.26,0.77,9.4
7.8,0.59,5,2.3,54,0.9975,3.43,0.59,10
7.3,0.39,6,2.4,46,0.9962,3.41,0.54,9.4
8.8,0.4,5,2.2,52,0.998,3.44,0.64,9.2
7.7,0.69,5,1.8,112,0.9968,3.21,0.71,9.3
7.5,0.52,7,1.9,35,0.9968,3.38,0.62,9.5
7,0.735,5,2,54,0.9966,3.39,0.57,9.8
7.2,0.725,5,4.65,11,0.9962,3.41,0.39,10.9
7.5,0.52,5,1.5,39,0.9968,3.42,0.58,9.6
6.6,0.705,5,1.6,15,0.9962,3.44,0.58,10.7
9.3,0.32,5,2,65,0.9969,3.28,0.79,10.7
8,0.705,6,1.9,19,0.9962,3.34,0.95,10.5
7.7,0.63,6,1.9,27,0.9967,3.32,0.54,9.5
7.7,0.67,5,2.1,96,0.9962,3.32,0.48,9.5
7.7,0.69,5,1.9,94,0.9961,3.31,0.48,9.5
8.3,0.675,4,2.1,43,0.9976,3.31,0.53,9.2
9.7,0.32,5,2.5,83,0.9984,3.28,0.82,9.6
8.8,0.41,5,2.2,42,0.9986,3.54,0.66,10.5
6.8,0.785,6,2.4,30,0.9966,3.52,0.55,10.7
6.7,0.75,5,2,80,0.9958,3.38,0.52,10.1
8.3,0.625,4,1.5,119,0.9972,3.16,1.12,9.1
6.2,0.45,5,1.6,15,0.9958,3.41,0.56,9.2
7.8,0.43,5,1.9,67,0.9974,3.13,1.28,9.4
7.4,0.5,5,2,73,0.997,3.36,0.57,9.1
7.3,0.67,5,1.8,51,0.9969,3.16,1.14,9.4
6.3,0.3,6,1.8,61,0.9959,3.44,0.78,10.3
6.9,0.55,5,2.2,40,0.9961,3.41,0.59,10.1
8.6,0.49,6,1.9,136,0.9972,2.93,1.95,9.9
7.7,0.49,5,1.9,31,0.9966,3.39,0.64,9.6
9.3,0.39,5,2.1,125,0.9978,3.14,1.22,9.5
7,0.62,5,1.8,24,0.9978,3.48,0.53,9
7.9,0.52,5,1.9,140,0.9964,3.23,0.54,9.5
8.6,0.49,5,2,133,0.9972,2.93,1.98,9.8
5,1.02,4,1.4,85,0.9938,3.75,0.48,10.5
4.7,0.6,6,2.3,106,0.9932,3.85,0.6,12.9
6.8,0.775,5,3,23,0.9965,3.45,0.56,10.7
7,0.5,5,2,22,0.9963,3.25,0.63,9.2
7.6,0.9,5,2.5,10,0.9967,3.39,0.56,9.8
8.1,0.545,6,1.9,35,0.9972,3.3,0.59,9
8.3,0.61,6,2.1,50,0.9972,3.4,0.61,10.2
7.8,0.5,6,1.9,22,0.9959,3.31,0.56,10.4
8.1,0.575,5,2.1,65,0.9967,3.29,0.51,9.2
7.2,0.49,5,2.2,36,0.996,3.33,0.48,9.4
7.8,0.41,5,1.7,69,0.9973,3.08,1.31,9.3
6.2,0.63,5,1.7,64,0.9969,3.46,0.79,9.3
8,0.33,6,2.5,80,0.9976,3.37,0.8,9.6
8.1,0.785,5,2,153,0.9969,3.21,0.69,9.3
