Wine,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,quality
1,7.4,0.7,0,1.9,0.076,5
2,7.8,0.88,0,2.6,0.098,5
3,7.8,0.76,0.04,2.3,0.092,5
4,11.2,0.28,0.56,1.9,0.075,6
5,7.4,0.66,0,1.8,0.075,5
6,7.9,0.6,0.06,1.6,0.069,5
7,7.3,0.65,0,1.2,0.065,7
8,7.8,0.58,0.02,2,0.073,7
9,7.5,0.5,0.36,6.1,0.071,5
10,6.7,0.58,0.08,1.8,0.097,5
11,5.6,0.615,0,1.6,0.089,5
12,7.8,0.61,0.29,1.6,0.114,5
13,8.9,0.62,0.18,3.8,0.176,5
14,8.9,0.62,0.19,3.9,0.17,5
15,8.5,0.28,0.56,1.8,0.092,7
16,8.1,0.56,0.28,1.7,0.368,5
17,7.4,0.59,0.08,4.4,0.086,4
18,7.9,0.32,0.51,1.8,0.341,6
19,8.9,0.22,0.48,1.8,0.077,6
20,7.6,0.39,0.31,2.3,0.082,5
21,7.9,0.43,0.21,1.6,0.106,5
22,8.5,0.49,0.11,2.3,0.084,5
23,6.9,0.4,0.14,2.4,0.085,6
24,6.3,0.39,0.16,1.4,0.08,5
25,7.6,0.41,0.24,1.8,0.08,5
26,7.1,0.71,0,1.9,0.08,5
27,7.8,0.645,0,2,0.082,6
28,6.7,0.675,0.07,2.4,0.089,5
29,6.9,0.685,0,2.5,0.105,6
30,8.3,0.655,0.12,2.3,0.083,5
31,6.9,0.605,0.12,10.7,0.073,6
32,5.2,0.32,0.25,1.8,0.103,5
33,7.8,0.645,0,5.5,0.086,6
34,7.8,0.6,0.14,2.4,0.086,6
35,8.1,0.38,0.28,2.1,0.066,7
36,5.7,1.13,0.09,1.5,0.172,4
37,7.3,0.45,0.36,5.9,0.074,5
38,8.8,0.61,0.3,2.8,0.088,4
39,7.5,0.49,0.2,2.6,0.332,6
40,8.1,0.66,0.22,2.2,0.069,5
41,6.8,0.67,0.02,1.8,0.05,5
42,4.6,0.52,0.15,2.1,0.054,4
43,7.7,0.935,0.43,2.2,0.114,5
44,8.7,0.29,0.52,1.6,0.113,5
45,6.4,0.4,0.23,1.6,0.066,5
46,5.6,0.31,0.37,1.4,0.074,5
47,8.8,0.66,0.26,1.7,0.074,5
48,6.6,0.52,0.04,2.2,0.069,6
49,6.6,0.5,0.04,2.1,0.068,6
50,8.6,0.38,0.36,3,0.081,5
51,7.6,0.51,0.15,2.8,0.11,6
52,7.7,0.62,0.04,3.8,0.084,5
53,10.2,0.42,0.57,3.4,0.07,5
54,7.5,0.63,0.12,5.1,0.111,5
55,7.8,0.59,0.18,2.3,0.076,5
56,7.3,0.39,0.31,2.4,0.074,6
57,8.8,0.4,0.4,2.2,0.079,5
58,7.7,0.69,0.49,1.8,0.115,5
59,7.5,0.52,0.16,1.9,0.085,7
60,7,0.735,0.05,2,0.081,5
61,7.2,0.725,0.05,4.65,0.086,5
62,7.5,0.52,0.11,1.5,0.079,5
63,6.6,0.705,0.07,1.6,0.076,5
64,9.3,0.32,0.57,2,0.074,5
65,8,0.705,0.05,1.9,0.074,6
66,7.7,0.63,0.08,1.9,0.076,6
67,7.7,0.67,0.23,2.1,0.088,5
68,7.7,0.69,0.22,1.9,0.084,5
69,8.3,0.675,0.26,2.1,0.084,4
70,9.7,0.32,0.54,2.5,0.094,5
71,8.8,0.41,0.64,2.2,0.093,5
72,6.8,0.785,0,2.4,0.104,6
73,6.7,0.75,0.12,2,0.086,5
74,8.3,0.625,0.2,1.5,0.08,4
75,6.2,0.45,0.2,1.6,0.069,5
76,7.8,0.43,0.7,1.9,0.464,5
77,7.4,0.5,0.47,2,0.086,5
78,7.3,0.67,0.26,1.8,0.401,5
79,6.3,0.3,0.48,1.8,0.069,6
80,6.9,0.55,0.15,2.2,0.076,5
81,8.6,0.49,0.28,1.9,0.11,6
82,7.7,0.49,0.26,1.9,0.062,5
83,9.3,0.39,0.44,2.1,0.107,5
84,7,0.62,0.08,1.8,0.076,5
85,7.9,0.52,0.26,1.9,0.079,5
86,8.6,0.49,0.29,2,0.11,5
87,5,1.02,0.04,1.4,0.045,4
88,4.7,0.6,0.17,2.3,0.058,6
89,6.8,0.775,0,3,0.102,5
90,7,0.5,0.25,2,0.07,5
91,7.6,0.9,0.06,2.5,0.079,5
92,8.1,0.545,0.18,1.9,0.08,6
93,8.3,0.61,0.3,2.1,0.084,6
94,7.8,0.5,0.3,1.9,0.075,6
95,8.1,0.575,0.22,2.1,0.077,5
96,7.2,0.49,0.24,2.2,0.07,5
97,7.8,0.41,0.68,1.7,0.467,5
98,6.2,0.63,0.31,1.7,0.088,5
99,8,0.33,0.53,2.5,0.091,6
100,8.1,0.785,0.52,2,0.122,5
