Wine,fixed acidity,quality,citric acid,residual sugar,chlorides
1,7.4,5,0,1.9,0.076
2,7.8,5,0,2.6,0.098
3,7.8,5,0.04,2.3,0.092
4,11.2,6,0.56,1.9,0.075
5,7.4,5,0,1.8,0.075
6,7.9,5,0.06,1.6,0.069
7,7.3,7,0,1.2,0.065
8,7.8,7,0.02,2,0.073
9,7.5,5,0.36,6.1,0.071
10,6.7,5,0.08,1.8,0.097
11,5.6,5,0,1.6,0.089
12,7.8,5,0.29,1.6,0.114
13,8.9,5,0.18,3.8,0.176
14,8.9,5,0.19,3.9,0.17
15,8.5,7,0.56,1.8,0.092
16,8.1,5,0.28,1.7,0.368
17,7.4,4,0.08,4.4,0.086
18,7.9,6,0.51,1.8,0.341
19,8.9,6,0.48,1.8,0.077
20,7.6,5,0.31,2.3,0.082
21,7.9,5,0.21,1.6,0.106
22,8.5,5,0.11,2.3,0.084
23,6.9,6,0.14,2.4,0.085
24,6.3,5,0.16,1.4,0.08
25,7.6,5,0.24,1.8,0.08
26,7.1,5,0,1.9,0.08
27,7.8,6,0,2,0.082
28,6.7,5,0.07,2.4,0.089
29,6.9,6,0,2.5,0.105
30,8.3,5,0.12,2.3,0.083
31,6.9,6,0.12,10.7,0.073
32,5.2,5,0.25,1.8,0.103
33,7.8,6,0,5.5,0.086
34,7.8,6,0.14,2.4,0.086
35,8.1,7,0.28,2.1,0.066
36,5.7,4,0.09,1.5,0.172
37,7.3,5,0.36,5.9,0.074
38,8.8,4,0.3,2.8,0.088
39,7.5,6,0.2,2.6,0.332
40,8.1,5,0.22,2.2,0.069
41,6.8,5,0.02,1.8,0.05
42,4.6,4,0.15,2.1,0.054
43,7.7,5,0.43,2.2,0.114
44,8.7,5,0.52,1.6,0.113
45,6.4,5,0.23,1.6,0.066
46,5.6,5,0.37,1.4,0.074
47,8.8,5,0.26,1.7,0.074
48,6.6,6,0.04,2.2,0.069
49,6.6,6,0.04,2.1,0.068
50,8.6,5,0.36,3,0.081
51,7.6,6,0.15,2.8,0.11
52,7.7,5,0.04,3.8,0.084
53,10.2,5,0.57,3.4,0.07
54,7.5,5,0.12,5.1,0.111
55,7.8,5,0.18,2.3,0.076
56,7.3,6,0.31,2.4,0.074
57,8.8,5,0.4,2.2,0.079
58,7.7,5,0.49,1.8,0.115
59,7.5,7,0.16,1.9,0.085
60,7,5,0.05,2,0.081
61,7.2,5,0.05,4.65,0.086
62,7.5,5,0.11,1.5,0.079
63,6.6,5,0.07,1.6,0.076
64,9.3,5,0.57,2,0.074
65,8,6,0.05,1.9,0.074
66,7.7,6,0.08,1.9,0.076
67,7.7,5,0.23,2.1,0.088
68,7.7,5,0.22,1.9,0.084
69,8.3,4,0.26,2.1,0.084
70,9.7,5,0.54,2.5,0.094
71,8.8,5,0.64,2.2,0.093
72,6.8,6,0,2.4,0.104
73,6.7,5,0.12,2,0.086
74,8.3,4,0.2,1.5,0.08
75,6.2,5,0.2,1.6,0.069
76,7.8,5,0.7,1.9,0.464
77,7.4,5,0.47,2,0.086
78,7.3,5,0.26,1.8,0.401
79,6.3,6,0.48,1.8,0.069
80,6.9,5,0.15,2.2,0.076
81,8.6,6,0.28,1.9,0.11
82,7.7,5,0.26,1.9,0.062
83,9.3,5,0.44,2.1,0.107
84,7,5,0.08,1.8,0.076
85,7.9,5,0.26,1.9,0.079
86,8.6,5,0.29,2,0.11
87,5,4,0.04,1.4,0.045
88,4.7,6,0.17,2.3,0.058
89,6.8,5,0,3,0.102
90,7,5,0.25,2,0.07
91,7.6,5,0.06,2.5,0.079
92,8.1,6,0.18,1.9,0.08
93,8.3,6,0.3,2.1,0.084
94,7.8,6,0.3,1.9,0.075
95,8.1,5,0.22,2.1,0.077
96,7.2,5,0.24,2.2,0.07
97,7.8,5,0.68,1.7,0.467
98,6.2,5,0.31,1.7,0.088
99,8,6,0.53,2.5,0.091
100,8.1,5,0.52,2,0.122
