quality,fixed acidity,free sulfur dioxide,volatile acidity,citric acid,residual sugar,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol
5,7.4,11,0.7,0,1.9,0.076,34,0.9978,3.51,0.56,9.4
5,7.8,25,0.88,0,2.6,0.098,67,0.9968,3.2,0.68,9.8
5,7.8,15,0.76,0.04,2.3,0.092,54,0.997,3.26,0.65,9.8
6,11.2,17,0.28,0.56,1.9,0.075,60,0.998,3.16,0.58,9.8
5,7.4,13,0.66,0,1.8,0.075,40,0.9978,3.51,0.56,9.4
5,7.9,15,0.6,0.06,1.6,0.069,59,0.9964,3.3,0.46,9.4
7,7.3,15,0.65,0,1.2,0.065,21,0.9946,3.39,0.47,10
7,7.8,9,0.58,0.02,2,0.073,18,0.9968,3.36,0.57,9.5
5,7.5,17,0.5,0.36,6.1,0.071,102,0.9978,3.35,0.8,10.5
5,6.7,15,0.58,0.08,1.8,0.097,65,0.9959,3.28,0.54,9.2
5,5.6,16,0.615,0,1.6,0.089,59,0.9943,3.58,0.52,9.9
5,7.8,9,0.61,0.29,1.6,0.114,29,0.9974,3.26,1.56,9.1
5,8.9,52,0.62,0.18,3.8,0.176,145,0.9986,3.16,0.88,9.2
5,8.9,51,0.62,0.19,3.9,0.17,148,0.9986,3.17,0.93,9.2
7,8.5,35,0.28,0.56,1.8,0.092,103,0.9969,3.3,0.75,10.5
5,8.1,16,0.56,0.28,1.7,0.368,56,0.9968,3.11,1.28,9.3
4,7.4,6,0.59,0.08,4.4,0.086,29,0.9974,3.38,0.5,9
6,7.9,17,0.32,0.51,1.8,0.341,56,0.9969,3.04,1.08,9.2
6,8.9,29,0.22,0.48,1.8,0.077,60,0.9968,3.39,0.53,9.4
5,7.6,23,0.39,0.31,2.3,0.082,71,0.9982,3.52,0.65,9.7
5,7.9,10,0.43,0.21,1.6,0.106,37,0.9966,3.17,0.91,9.5
5,8.5,9,0.49,0.11,2.3,0.084,67,0.9968,3.17,0.53,9.4
6,6.9,21,0.4,0.14,2.4,0.085,40,0.9968,3.43,0.63,9.7
5,6.3,11,0.39,0.16,1.4,0.08,23,0.9955,3.34,0.56,9.3
5,7.6,4,0.41,0.24,1.8,0.08,11,0.9962,3.28,0.59,9.5
5,7.1,14,0.71,0,1.9,0.08,35,0.9972,3.47,0.55,9.4
6,7.8,8,0.645,0,2,0.082,16,0.9964,3.38,0.59,9.8
5,6.7,17,0.675,0.07,2.4,0.089,82,0.9958,3.35,0.54,10.1
6,6.9,22,0.685,0,2.5,0.105,37,0.9966,3.46,0.57,10.6
5,8.3,15,0.655,0.12,2.3,0.083,113,0.9966,3.17,0.66,9.8
6,6.9,40,0.605,0.12,10.7,0.073,83,0.9993,3.45,0.52,9.4
5,5.2,13,0.32,0.25,1.8,0.103,50,0.9957,3.38,0.55,9.2
6,7.8,5,0.645,0,5.5,0.086,18,0.9986,3.4,0.55,9.6
6,7.8,3,0.6,0.14,2.4,0.086,15,0.9975,3.42,0.6,10.8
7,8.1,13,0.38,0.28,2.1,0.066,30,0.9968,3.23,0.73,9.7
4,5.7,7,1.13,0.09,1.5,0.172,19,0.994,3.5,0.48,9.8
