wconfid,pctid,x,y,z
1,20,1.035,-0.027,-0.133
1,20,1.004,0.09,-0.125
1,20,1.004,-0.043,-0.125
1,20,0.969,0.09,-0.121
1,20,0.973,-0.012,-0.137
1,30,0.984,-0.035,-0.125
1,30,0.984,-0.004,-0.137
1,30,1,0.098,-0.125
1,30,1.031,-0.012,-0.129
1,30,0.965,-0.148,-0.152
1,25,1.016,0.023,-0.121
1,25,0.988,-0.121,-0.156
1,25,0.992,-0.035,-0.137
1,25,1,0.039,-0.125
1,25,0.992,-0.094,-0.156
1,40,1.031,0.082,-0.121
1,40,0.984,-0.043,-0.152
1,40,0.973,-0.078,-0.125
1,40,1.027,0.074,-0.125
1,40,0.988,-0.008,-0.141
1,50,0.973,-0.152,-0.152
1,50,1.004,0.074,-0.137
1,50,1.012,-0.027,-0.137
1,50,0.965,-0.133,-0.148
1,50,1.004,0.086,-0.125
1,60,0.957,-0.148,-0.113
1,60,0.988,0.043,-0.125
1,60,1.004,-0.004,-0.137
1,60,0.965,-0.137,-0.109
1,60,1.008,0.141,-0.125
1,65,1.027,0.035,-0.125
1,65,1,0.141,-0.125
1,65,1.012,0.043,-0.125
1,65,0.988,-0.07,-0.148
1,65,0.977,-0.063,-0.117
1,90,0.973,-0.059,-0.156
1,90,0.984,0.074,-0.117
1,90,0.988,-0.066,-0.137
1,90,0.98,-0.031,-0.148
1,90,0.965,0.121,-0.098
1,100,1.027,0.078,-0.125
1,100,0.98,-0.047,-0.145
1,100,0.98,-0.09,-0.125
1,100,1.02,0.051,-0.125
1,100,0.98,-0.016,-0.148
1,85,1.031,0.047,-0.133
1,85,0.988,0.027,-0.141
1,85,1.047,0.102,-0.133
1,85,0.996,0.121,-0.129
1,85,1.004,-0.004,-0.137
2,20,1,-0.066,-0.113
2,20,0.969,0.012,-0.137
2,20,0.969,0.047,-0.125
2,20,0.969,0.086,-0.129
2,20,1.016,0.031,-0.133
2,30,1.016,0.027,-0.121
2,30,0.988,-0.078,-0.148
2,30,0.996,0.02,-0.105
2,30,1.023,-0.016,-0.086
2,30,0.996,-0.066,-0.141
2,25,0.969,0.008,-0.141
2,25,1.012,-0.008,-0.121
2,25,1.004,-0.098,-0.105
2,25,0.984,0.008,-0.129
2,40,0.984,-0.02,-0.113
2,40,1.02,0.094,-0.102
2,40,0.996,-0.008,-0.117
2,40,0.988,-0.039,-0.117
2,40,1.02,0.098,-0.105
2,50,0.988,-0.043,-0.121
2,50,1.023,0.027,-0.113
2,50,0.977,-0.078,-0.141
2,50,0.977,0,-0.129
2,50,1.02,-0.02,-0.082
2,60,0.969,0.012,-0.137
2,60,1.039,0.066,-0.082
2,60,0.992,0.059,-0.121
2,60,1.012,0.035,-0.125
2,60,0.957,-0.086,-0.133
2,65,1.004,-0.117,-0.125
2,65,0.988,0.039,-0.137
2,65,1.035,-0.004,-0.137
2,65,1.023,-0.043,-0.125
2,65,0.969,0.047,-0.133
2,90,0.957,0.008,-0.137
2,90,1.027,0.09,-0.137
2,90,0.977,0.039,-0.129
2,90,1.008,-0.008,-0.145
2,90,1.02,-0.09,-0.102
2,100,1.016,-0.105,-0.094
2,100,0.984,0.008,-0.137
2,100,1.004,-0.031,-0.133
2,100,1,0.008,-0.129
2,100,0.973,0.047,-0.105
2,85,0.961,-0.004,-0.125
2,85,0.988,-0.043,-0.105
2,85,1.016,0.047,-0.109
2,85,0.973,-0.004,-0.145
2,85,0.996,-0.02,-0.129
2,25,0.992,-0.043,-0.121
3,20,0.984,-0.059,-0.16
3,20,1.02,0.082,-0.129
3,20,1.004,-0.063,-0.109
3,20,0.98,-0.023,-0.141
3,20,0.988,-0.043,-0.121
3,30,0.957,-0.02,-0.121
3,30,0.992,-0.055,-0.105
3,30,1.023,0.008,-0.102
3,30,0.98,-0.063,-0.168
3,30,1,0,-0.129
3,25,0.98,-0.008,-0.109
3,25,1.027,0.086,-0.125
3,25,0.992,-0.039,-0.137
3,25,0.996,-0.055,-0.117
3,25,1.031,0.059,-0.121
3,40,1.02,0.078,-0.098
3,40,0.98,-0.031,-0.152
3,40,1.004,-0.031,-0.121
3,40,1.012,0.086,-0.125
3,40,0.973,-0.035,-0.156
3,50,0.961,0.129,-0.145
3,50,1,0.051,-0.133
3,50,0.988,-0.078,-0.16
3,50,1,0.016,-0.098
3,50,1.004,-0.039,-0.102
3,60,1.008,-0.063,-0.102
3,60,0.973,-0.063,-0.152
3,60,0.996,-0.043,-0.113
3,60,0.996,0.063,-0.102
3,60,0.973,-0.078,-0.156
3,65,0.969,0.082,-0.113
3,65,0.965,0.066,-0.141
3,65,1.012,-0.063,-0.113
3,65,0.996,-0.129,-0.102
3,65,0.961,0.066,-0.145
3,90,0.988,-0.035,-0.148
3,90,1,-0.055,-0.113
3,90,1.023,0.082,-0.117
3,90,0.98,-0.055,-0.164
3,90,0.996,-0.039,-0.109
3,100,1.012,0.047,-0.133
3,100,0.992,0.094,-0.109
3,100,1.016,0.086,-0.117
3,100,0.953,0.012,-0.148
3,100,1.02,-0.051,-0.113
3,85,1.004,-0.02,-0.109
3,85,1.039,0.09,-0.125
3,85,0.984,0.039,-0.141
3,85,1.023,-0.039,-0.125
3,85,0.953,0.004,-0.133
