wconfid,pctid,x,y,z
1,20,1.035,-0.027,-0.133
1,20,1.004,0.09,-0.125
1,20,1.004,-0.043,-0.125
1,20,0.969,0.09,-0.121
1,20,0.973,-0.012,-0.137
1,30,0.984,-0.035,-0.125
1,30,0.984,-0.004,-0.137
1,30,1,0.098,-0.125
1,30,1.031,-0.012,-0.129
1,30,0.965,-0.148,-0.152
1,25,1.016,0.023,-0.121
1,25,0.988,-0.121,-0.156
1,25,0.992,-0.035,-0.137
1,25,1,0.039,-0.125
1,25,0.992,-0.094,-0.156
1,40,1.031,0.082,-0.121
1,40,0.984,-0.043,-0.152
1,40,0.973,-0.078,-0.125
1,40,1.027,0.074,-0.125
1,40,0.988,-0.008,-0.141
1,50,0.973,-0.152,-0.152
1,50,1.004,0.074,-0.137
1,50,1.012,-0.027,-0.137
1,50,0.965,-0.133,-0.148
1,50,1.004,0.086,-0.125
1,60,0.957,-0.148,-0.113
1,60,0.988,0.043,-0.125
1,60,1.004,-0.004,-0.137
1,60,0.965,-0.137,-0.109
1,60,1.008,0.141,-0.125
1,65,1.027,0.035,-0.125
1,65,1,0.141,-0.125
1,65,1.012,0.043,-0.125
1,65,0.988,-0.07,-0.148
1,65,0.977,-0.063,-0.117
1,90,0.973,-0.059,-0.156
1,90,0.984,0.074,-0.117
1,90,0.988,-0.066,-0.137
1,90,0.98,-0.031,-0.148
1,90,0.965,0.121,-0.098
1,100,1.027,0.078,-0.125
1,100,0.98,-0.047,-0.145
1,100,0.98,-0.09,-0.125
1,100,1.02,0.051,-0.125
1,100,0.98,-0.016,-0.148
1,85,1.031,0.047,-0.133
1,85,0.988,0.027,-0.141
1,85,1.047,0.102,-0.133
1,85,0.996,0.121,-0.129
1,85,1.004,-0.004,-0.137
