fixed acidity,volatile acidity,quality,citric acid,total sulfur dioxide
7.4,0.7,5,0,34
7.8,0.88,5,0,67
7.8,0.76,5,0.04,54
11.2,0.28,6,0.56,60
7.4,0.66,5,0,40
7.9,0.6,5,0.06,59
7.3,0.65,7,0,21
7.8,0.58,7,0.02,18
7.5,0.5,5,0.36,102
6.7,0.58,5,0.08,65
5.6,0.615,5,0,59
7.8,0.61,5,0.29,29
8.9,0.62,5,0.18,145
8.9,0.62,5,0.19,148
8.5,0.28,7,0.56,103
8.1,0.56,5,0.28,56
7.4,0.59,4,0.08,29
7.9,0.32,6,0.51,56
8.9,0.22,6,0.48,60
7.6,0.39,5,0.31,71
7.9,0.43,5,0.21,37
8.5,0.49,5,0.11,67
6.9,0.4,6,0.14,40
6.3,0.39,5,0.16,23
7.6,0.41,5,0.24,11
7.1,0.71,5,0,35
7.8,0.645,6,0,16
6.7,0.675,5,0.07,82
6.9,0.685,6,0,37
8.3,0.655,5,0.12,113
6.9,0.605,6,0.12,83
5.2,0.32,5,0.25,50
7.8,0.645,6,0,18
7.8,0.6,6,0.14,15
8.1,0.38,7,0.28,30
5.7,1.13,4,0.09,19
7.3,0.45,5,0.36,87
8.8,0.61,4,0.3,46
7.5,0.49,6,0.2,14
8.1,0.66,5,0.22,23
6.8,0.67,5,0.02,11
4.6,0.52,4,0.15,65
7.7,0.935,5,0.43,114
8.7,0.29,5,0.52,37
6.4,0.4,5,0.23,12
5.6,0.31,5,0.37,96
8.8,0.66,5,0.26,23
6.6,0.52,6,0.04,15
6.6,0.5,6,0.04,14
8.6,0.38,5,0.36,119
7.6,0.51,6,0.15,73
7.7,0.62,5,0.04,45
10.2,0.42,5,0.57,10
7.5,0.63,5,0.12,110
7.8,0.59,5,0.18,54
7.3,0.39,6,0.31,46
8.8,0.4,5,0.4,52
7.7,0.69,5,0.49,112
7.5,0.52,7,0.16,35
7,0.735,5,0.05,54
7.2,0.725,5,0.05,11
7.5,0.52,5,0.11,39
6.6,0.705,5,0.07,15
9.3,0.32,5,0.57,65
8,0.705,6,0.05,19
7.7,0.63,6,0.08,27
7.7,0.67,5,0.23,96
7.7,0.69,5,0.22,94
8.3,0.675,4,0.26,43
9.7,0.32,5,0.54,83
8.8,0.41,5,0.64,42
6.8,0.785,6,0,30
6.7,0.75,5,0.12,80
8.3,0.625,4,0.2,119
6.2,0.45,5,0.2,15
7.8,0.43,5,0.7,67
7.4,0.5,5,0.47,73
7.3,0.67,5,0.26,51
6.3,0.3,6,0.48,61
6.9,0.55,5,0.15,40
8.6,0.49,6,0.28,136
7.7,0.49,5,0.26,31
9.3,0.39,5,0.44,125
7,0.62,5,0.08,24
7.9,0.52,5,0.26,140
8.6,0.49,5,0.29,133
5,1.02,4,0.04,85
4.7,0.6,6,0.17,106
6.8,0.775,5,0,23
7,0.5,5,0.25,22
7.6,0.9,5,0.06,10
8.1,0.545,6,0.18,35
8.3,0.61,6,0.3,50
7.8,0.5,6,0.3,22
8.1,0.575,5,0.22,65
7.2,0.49,5,0.24,36
7.8,0.41,5,0.68,69
6.2,0.63,5,0.31,64
8,0.33,6,0.53,80
8.1,0.785,5,0.52,153
7.8,0.56,5,0.19,47
8.4,0.62,5,0.09,108
8.4,0.6,5,0.1,111
10.1,0.31,6,0.44,46
9.4,0.4,6,0.31,62
8.3,0.54,6,0.28,40
7.8,0.56,6,0.12,28
8.8,0.55,6,0.04,56
7,0.69,6,0.08,89
7.3,1.07,5,0.09,89
7.3,0.695,5,0,13
8,0.71,5,0,34
7.8,0.5,5,0.17,102
9,0.62,5,0.04,90
8.2,1.33,5,0,12
8.1,1.33,5,0,12
8,0.59,7,0.16,16
6.1,0.38,5,0.15,19
8,0.745,5,0.56,134
5.6,0.5,5,0.09,99
6.6,0.5,6,0.01,26
7.9,1.04,6,0.05,29
8.4,0.745,5,0.11,63
8.3,0.715,5,0.15,52
7.2,0.415,5,0.36,45
7.8,0.56,5,0.19,105
7.8,0.56,5,0.19,108
5.2,0.34,6,0,63
6.3,0.39,5,0.08,20
8.1,0.67,5,0.55,141
5.8,0.68,5,0.02,94
7.6,0.49,5,0.26,88
6.9,0.49,6,0.1,30
8.2,0.4,6,0.44,43
7.3,0.33,6,0.47,11
9.2,0.52,4,1,69
7.5,0.6,5,0.03,99
7.1,0.43,5,0.42,129
7.1,0.43,5,0.42,128
7.1,0.68,5,0,22
6.8,0.6,6,0.18,86
7.6,0.95,5,0.03,20
7.6,0.68,4,0.02,20
7.8,0.53,6,0.04,31
7.4,0.6,5,0.26,121
7.3,0.59,5,0.26,121
7.8,0.63,5,0.48,96
6.8,0.64,5,0.1,101
7.3,0.55,4,0.03,42
6.8,0.63,6,0.07,44
7.5,0.705,5,0.24,63
7.9,0.885,4,0.03,8
8,0.42,6,0.17,18
7.4,0.62,6,0.05,42
7.3,0.38,5,0.21,35
6.9,0.5,5,0.04,49
7.5,0.52,6,0.42,38
7,0.805,5,0,20
8.8,0.61,5,0.14,42
8.9,0.61,5,0.49,110
7.2,0.73,5,0.02,42
6.8,0.61,5,0.2,65
6.7,0.62,6,0.21,62
8.9,0.31,5,0.57,85
7.4,0.39,5,0.48,67
7.7,0.705,5,0.1,26
7.9,0.5,5,0.33,143
