fixed acidity,total sulfur dioxide,volatile acidity,quality,citric acid
7.4,34,0.7,5,0
7.8,67,0.88,5,0
7.8,54,0.76,5,0.04
11.2,60,0.28,6,0.56
7.4,40,0.66,5,0
7.9,59,0.6,5,0.06
7.3,21,0.65,7,0
7.8,18,0.58,7,0.02
7.5,102,0.5,5,0.36
6.7,65,0.58,5,0.08
5.6,59,0.615,5,0
7.8,29,0.61,5,0.29
8.9,145,0.62,5,0.18
8.9,148,0.62,5,0.19
8.5,103,0.28,7,0.56
8.1,56,0.56,5,0.28
7.4,29,0.59,4,0.08
7.9,56,0.32,6,0.51
8.9,60,0.22,6,0.48
7.6,71,0.39,5,0.31
7.9,37,0.43,5,0.21
8.5,67,0.49,5,0.11
6.9,40,0.4,6,0.14
6.3,23,0.39,5,0.16
7.6,11,0.41,5,0.24
7.1,35,0.71,5,0
7.8,16,0.645,6,0
6.7,82,0.675,5,0.07
6.9,37,0.685,6,0
8.3,113,0.655,5,0.12
6.9,83,0.605,6,0.12
5.2,50,0.32,5,0.25
7.8,18,0.645,6,0
7.8,15,0.6,6,0.14
8.1,30,0.38,7,0.28
5.7,19,1.13,4,0.09
7.3,87,0.45,5,0.36
8.8,46,0.61,4,0.3
7.5,14,0.49,6,0.2
8.1,23,0.66,5,0.22
6.8,11,0.67,5,0.02
4.6,65,0.52,4,0.15
7.7,114,0.935,5,0.43
8.7,37,0.29,5,0.52
6.4,12,0.4,5,0.23
5.6,96,0.31,5,0.37
8.8,23,0.66,5,0.26
6.6,15,0.52,6,0.04
6.6,14,0.5,6,0.04
8.6,119,0.38,5,0.36
7.6,73,0.51,6,0.15
7.7,45,0.62,5,0.04
10.2,10,0.42,5,0.57
7.5,110,0.63,5,0.12
7.8,54,0.59,5,0.18
7.3,46,0.39,6,0.31
8.8,52,0.4,5,0.4
7.7,112,0.69,5,0.49
7.5,35,0.52,7,0.16
7,54,0.735,5,0.05
7.2,11,0.725,5,0.05
7.5,39,0.52,5,0.11
6.6,15,0.705,5,0.07
9.3,65,0.32,5,0.57
8,19,0.705,6,0.05
7.7,27,0.63,6,0.08
7.7,96,0.67,5,0.23
7.7,94,0.69,5,0.22
8.3,43,0.675,4,0.26
9.7,83,0.32,5,0.54
8.8,42,0.41,5,0.64
6.8,30,0.785,6,0
6.7,80,0.75,5,0.12
8.3,119,0.625,4,0.2
6.2,15,0.45,5,0.2
7.8,67,0.43,5,0.7
7.4,73,0.5,5,0.47
7.3,51,0.67,5,0.26
6.3,61,0.3,6,0.48
6.9,40,0.55,5,0.15
8.6,136,0.49,6,0.28
7.7,31,0.49,5,0.26
9.3,125,0.39,5,0.44
7,24,0.62,5,0.08
7.9,140,0.52,5,0.26
8.6,133,0.49,5,0.29
5,85,1.02,4,0.04
4.7,106,0.6,6,0.17
6.8,23,0.775,5,0
7,22,0.5,5,0.25
7.6,10,0.9,5,0.06
8.1,35,0.545,6,0.18
8.3,50,0.61,6,0.3
7.8,22,0.5,6,0.3
8.1,65,0.575,5,0.22
7.2,36,0.49,5,0.24
7.8,69,0.41,5,0.68
6.2,64,0.63,5,0.31
8,80,0.33,6,0.53
8.1,153,0.785,5,0.52
7.8,47,0.56,5,0.19
8.4,108,0.62,5,0.09
8.4,111,0.6,5,0.1
10.1,46,0.31,6,0.44
9.4,62,0.4,6,0.31
8.3,40,0.54,6,0.28
7.8,28,0.56,6,0.12
8.8,56,0.55,6,0.04
7,89,0.69,6,0.08
7.3,89,1.07,5,0.09
7.3,13,0.695,5,0
8,34,0.71,5,0
7.8,102,0.5,5,0.17
9,90,0.62,5,0.04
8.2,12,1.33,5,0
8.1,12,1.33,5,0
8,16,0.59,7,0.16
6.1,19,0.38,5,0.15
8,134,0.745,5,0.56
5.6,99,0.5,5,0.09
6.6,26,0.5,6,0.01
7.9,29,1.04,6,0.05
